Codebarre;Titre;Editeur;Date_achat;Prix;Frequence;Format;Info;Public
400;Flight Sim Commander (addon FS X);Anuman Interactive;06/11/2007;38;9;PC;1 cd, 1 notice, 1 numero de serie;
406;Schweizer 300CBI (extension FS X);Eidos;06/11/2007;20;5;PC;1 CD, notice;
410;Virtual Skipper 5: America's cup;Focus;06/11/2007;43;8;PC;1 DVD, 1 manuel;
412;Copy & Convert 3;Roxio;06/11/2007;30;19;PC;1CD, 1 manuel, 1 numéro de série;
418;MyTraffic X (addon FS X);Aerosoft;6/25/07;;9;PC;1 DVD, Manuel, n° série;
430;Guitar Pro 5;Arobas Music;6/29/07;59;29;PC/MAC;1 DVD, n° série, carte de garantie;
432;DJ Master Mix;Micro Application;6/29/07;19;14;PC;1 CD, 1 manuel, 1 n° série;
434;J'apprends la Guitare: niveau 1;Musicalis;6/29/07;40;22;PC;1 CD;
443;J'apprends la Guitare: niveau 2;Musicalis;6/29/07;20;8;PC;1 CDs;
453;Le BLED Interactif  (6-8ans);Hachette;2/13/03;15;4;PC/MAC;1CD, notice;
463;Dorémi l'Oiseau;;11/18/04;30;8;PC/MAC;1CD , notice;2/5 ans
465;Money Standard 2005;Microsoft;11/18/04;25;22;PC;1CD;
476;Flight Simulator 2004;Microsoft;9/23/04;49;4;PC;4CD , N° de série + remplace celui perdu !!;+7 ans
488;Tell Me More: Anglais 1+2+3;;02/09/2005;150;;PC;1DVD , CASQUE AU COFFRE;
517;Backup MyPC Deluxe;Orlogix;08/04/2005;39;7;PC;1CD , NUM SERIE + P/N BUMP/EU v6;
522;Graines de Génie: 6ème - 11/12 ans;Mindscape;08/04/2005;20;7;PC;1 DVD, 1 manuel;
523;Graines de Génie: 5ème - 12/13 ans;Mindscape;08/04/2005;20;8;PC;1DVD ,notice;
524;Graines de Génie: 4ème - 13/14 ans;Mindscape;08/04/2005;20;4;PC;1DVD , manuel dans la pochette;
525;Graines de Génie: 3ème - 14/15 ans;Mindscape;08/04/2005;20;3;PC;1DVD ,;
544;Tell Me More: Premium Espagnol;Auralog;9/22/05;150;14;PC;3DVD , un manuel + casque avec micro;
554;Adibou Je lis, je calcule (Maternelle GS) 5 à 6 ans;Mindscape;9/30/05;30;;PC/MAC;1CD , mac;
